region,count,mean,std,min,25%,50%,75%,max
region1,3509.0,83.83,13.34,18.0,78.0,88.0,94.0,100.0
region2,4702.0,75.59,18.38,0.0,66.0,80.0,90.0,100.0
region3,6705.0,79.32,16.04,20.0,69.0,83.0,92.0,100.0
region4,12755.0,84.0,13.05,19.0,78.0,87.0,94.0,100.0
region5,9744.0,80.68,15.18,17.0,72.0,84.0,93.0,100.0
region6,7620.0,81.96,14.62,16.0,74.0,86.0,93.0,100.0
region7,3364.0,86.46,11.73,11.0,82.0,90.0,95.0,100.0
region8,1212.0,84.03,12.22,23.0,78.0,87.0,93.0,100.0
region9,2255.0,82.33,13.98,21.0,75.0,86.0,93.0,100.0
region10,1467.0,87.12,11.8,33.0,82.0,91.0,96.0,100.0
